Ano;Mes;Energia
1968;1;10951
1968;2;10671
1968;3;13643
1968;4;15109
1968;5;12602
1968;6;12295
1968;7;12056
1968;8;12376
1968;9;14146
1968;10;12993
1968;11;14206
1968;12;13603
1969;1;13044
1969;2;12132
1969;3;13606
1969;4;15876
1969;5;14316
1969;6;12675
1969;7;14290
1969;8;15170
1969;9;15065
1969;10;16273
1969;11;16505
1969;12;16060
1970;1;16964
1970;2;17675
1970;3;15548
1970;4;17275
1970;5;22318
1970;6;21117
1970;7;23326
1970;8;27224
1970;9;28794
1970;10;19554
1970;11;19601
1970;12;27330
1971;1;29260
1971;2;29591
1971;3;29509
1971;4;28883
1971;5;32390
1971;6;32702
1971;7;31748
1971;8;28157
1971;9;32898
1971;10;32909
1971;11;34087
1971;12;31760
1972;1;35105
1972;2;31767
1972;3;35608
1972;4;35094
1972;5;32674
1972;6;35438
1972;7;36270
1972;8;35369
1972;9;36742
1972;10;36615
1972;11;36748
1972;12;37289
1973;1;38277
1973;2;37825
1973;3;34107
1973;4;42106
1973;5;49218
1973;6;55002
1973;7;51820
1973;8;60111
1973;9;58980
1973;10;56281
1973;11;60731
1973;12;62870
1974;1;63653
1974;2;65574
1974;3;59721
1974;4;65205
1974;5;61340
1974;6;59538
1974;7;55018
1974;8;65002
1974;9;66740
1974;10;63595
1974;11;63202
1974;12;59822
1975;1;65653
1975;2;62089
1975;3;64107
1975;4;70440
1975;5;65237
1975;6;66885
1975;7;62929
1975;8;68011
1975;9;71948
1975;10;72940
1975;11;74873
1975;12;72523
1976;1;78868
1976;2;79610
1976;3;74635
1976;4;80178
1976;5;79802
1976;6;82737
1976;7;81259
1976;8;81697
1976;9;80502
1976;10;78160
1976;11;80078
1976;12;83807
1977;1;84608
1977;2;89889
1977;3;81894
1977;4;95400
1977;5;91214
1977;6;89767
1977;7;89726
1977;8;97896
1977;9;103416
1977;10;107646
1977;11;120409
1977;12;109626
1978;1;100276
;2;118065
;3;116504
;4;134251
;5;134667
;6;144760
;7;144438
;8;159168
;9;168255
;10;175231
;11;174530
;12;173720
1979;1;179821
;2;185780
;3;270327
;4;196949
;5;202968
;6;213178
;7;210912
;8;213598
;9;210297
