Mes/ano;ICV
01/01/1970;71,6
01/02/1970;72,5
01/03/1970;73,5
01/04/1970;74,5
01/05/1970;75,2
01/06/1970;76,3
01/07/1970;76,9
01/08/1970;78,1
01/09/1970;80
01/10/1970;80,9
01/11/1970;81,7
01/12/1970;82,9
01/01/1971;84,7
01/02/1971;86,3
01/03/1971;88,8
01/04/1971;90,9
01/05/1971;91,5
01/06/1971;93,4
01/07/1971;94,6
01/08/1971;95,9
01/09/1971;96,7
01/10/1971;97,8
01/11/1971;99,1
01/12/1971;100
01/01/1972;102,2
01/02/1972;103,7
01/03/1972;104,7
01/04/1972;106
01/05/1972;106,7
01/06/1972;107,9
01/07/1972;110,4
01/08/1972;112,3
01/09/1972;114,1
01/10/1972;116,1
01/11/1972;117,1
01/12/1972;117,5
01/01/1973;118,9
01/02/1973;120,2
01/03/1973;122,1
01/04/1973;124,2
01/05/1973;125,2
01/06/1973;126,2
01/01/1973;127,6
01/08/1973;128,9
01/09/1973;130,5
01/10/1973;132
01/11/1973;133,2
01/12/1973;133,9
01/01/1974;135,1
01/02/1974;139,9
01/03/1974;145,8
01/04/1974;153,2
01/05/1974;156,1
01/06/1974;158,1
01/07/1974;161,6
01/08/1974;164,7
01/09/1974;167,4
01/10/1974;170,2
01/11/1974;174
01/12/1974;178,1
01/01/1975;183,1
01/02/1975;187,5
01/03/1975;189,9
01/04/1975;194,1
01/05/1975;197,8
01/06/1975;204
01/07/1975;208
01/08/1975;215
01/09/1975;219
01/10/1975;223
01/11/1975;227
01/12/1975;230
01/01/1976;238
01/02/1976;251
01/03/1976;256
01/04/1976;263
01/05/1976;270
01/06/1976;275
01/07/1976;280
01/08/1976;290
01/09/1976;298
01/10/1976;305
01/11/1976;310
01/12/1976;318
01/01/1977;329
01/02/1977;343
01/03/1977;359
01/04/1977;375
01/05/1977;383
01/06/1977;393
01/07/1977;400
01/08/1977;407
01/09/1977;415
01/10/1977;424
01/11/1977;436
01/12/1977;449
01/01/1978;456
01/02/1978;474
01/03/1978;486
01/04/1978;495
01/05/1978;510
01/06/1978;535
01/07/1978;558
01/08/1978;572
01/09/1978;586
01/10/1978;602
01/11/1978;617
01/12/1978;628
01/01/1979;653
01/02/1979;667
01/03/1979;707
01/04/1979;731
01/05/1979;746
01/06/1979;778
01/07/1979;812
01/08/1979;840
01/09/1979;849
01/10/1979;936
01/11/1979;980
01/12/1979;1049
01/01/1980;1096
01/02/1980;1133
01/03/1980;1182
01/04/1980;1237
01/05/1980;1309
01/06/1980;1374
