Ano;Mes;Ozonio
1956;1;2
;2;3,2
;3;3,7
;4;4,5
;5;6,1
;6;6,5
;7;8,7
;8;9,1
;9;8,1
;10;4,9
;11;3,6
;12;2
1957;1;3,3
;2;2,3
;3;2,6
;4;1,6
;5;8,3
;6;6,1
;7;9
;8;7,4
;9;6,5
;10;4,3
;11;2,5
;12;3,3
1958;1;6,6
;2;4,5
;3;5,4
;4;4,7
;5;4,4
;6;5,9
;7;6,5
;8;6,9
;9;6,9
;10;3,8
;11;4,5
;12;3,2
1959;1;4,5
;2;4,4
;3;3,5
;4;6
;5;6,8
;6;8,1
;7;8,3
;8;7,7
;9;7,3
;10;4,9
;11;4,6
;12;3,9
1960;1;3,4
;2;3
;3;3,7
;4;5,6
;5;5
;6;7,4
;7;7,8
;8;6,8
;9;5,6
;10;6,9
;11;4,8
;12;2,8
1961;1;3
;2;2,9
;3;4,9
;4;5,3
;5;5,9
;6;8
;7;9
;8;8,2
;9;7,3
;10;4,8
;11;3,7
;12;2,6
1962;1;3
;2;4,2
;3;3,9
;4;5,4
;5;4,6
;6;7,5
;7;6,9
;8;7,1
;9;5,9
;10;5,5
;11;3,4
;12;2,5
1963;1;2,8
;2;2,3
;3;2,6
;4;5,8
;5;4,4
;6;7,1
;7;9,5
;8;9,2
;9;7,9
;10;5,3
;11;3,9
;12;3,3
1964;1;2,1
;2;3,6
;3;3
;4;3,8
;5;4,6
;6;4,4
;7;7,7
;8;6,2
;9;4,9
;10;5,1
;11;3,6
;12;3,1
1965;1;2,5
;2;3,9
;3;2,6
;4;3,6
;5;5,3
;6;7
;7;8,6
;8;7,6
;9;6,6
;10;5,6
;11;2,3
;12;1,6
1966;1;2,2
;2;3,5
;3;2,7
;4;5,4
;5;5,2
;6;4,9
;7;8,7
;8;8,7
;9;6,6
;10;5,6
;11;2,3
;12;1,6
1967;1;2,8
;2;2,6
;3;4,5
;4;4,8
;5;3,9
;6;8
;7;8,9
;8;8,1
;9;7,2
;10;5,9
;11;3,3
;12;2,2
1968;1;2,9
;2;4,1
;3;3,6
;4;3,2
;5;5,9
;6;6,5
;7;8,6
;8;9,3
;9;6,9
;10;7,9
;11;3,8
1969;12;2,4
;1;2,3
;2;3
;3;3,9
;4;4,8
;5;4,9
;6;6,5
;7;7,2
;8;7
;9;5,8
;10;4,8
;11;3,8
;12;2,3
1970;1;2,1
;2;2,6
;3;4,1
;4;3,9
;5;6,7
;6;5,1
;7;7,8
;8;9,3
;9;7,5
;10;4,1
;11;2,9
;12;2,6
