1968;1;133,80;;;;;;;;;;;;;;;;;;;
1968;2;124,90;;;;;;;;;;;;;;;;;;;
1968;3;122,80;;;;;;;;;;;;;;;;;;;
1968;4;135,80;;;;;;;;;;;;;;;;;;;
1968;5;164,80;;;;;;;;;;;;;;;;;;;
1968;6;168,50;;;;;;;;;;;;;;;;;;;
1968;7;168,40;;;;;;;;;;;;;;;;;;;
1968;8;187,30;;;;;;;;;;;;;;;;;;;
1968;9;156,10;;;;;;;;;;;;;;;;;;;
1968;10;164,20;;;;;;;;;;;;;;;;;;;
1968;11;170,40;;;;;;;;;;;;;;;;;;;
1968;12;164,30;;;;;;;;;;;;;;;;;;;
1969;1;153,40;;;;;;;;;;;;;;;;;;;
1969;2;140,60;;;;;;;;;;;;;;;;;;;
1969;3;142,70;;;;;;;;;;;;;;;;;;;
1969;4;157,90;;;;;;;;;;;;;;;;;;;
1969;5;169,90;;;;;;;;;;;;;;;;;;;
1969;6;165,50;;;;;;;;;;;;;;;;;;;
1969;7;163,50;;;;;;;;;;;;;;;;;;;
1969;8;200,40;;;;;;;;;;;;;;;;;;;
1969;9;173,80;;;;;;;;;;;;;;;;;;;
1969;10;168,00;;;;;;;;;;;;;;;;;;;
1969;11;156,40;;;;;;;;;;;;;;;;;;;
1969;12;201,10;;;;;;;;;;;;;;;;;;;
1970;1;172,00;;;;;;;;;;;;;;;;;;;
1970;2;132,00;;;;;;;;;;;;;;;;;;;
1970;3;177,00;;;;;;;;;;;;;;;;;;;
1970;4;164,00;;;;;;;;;;;;;;;;;;;
1970;5;171,00;;;;;;;;;;;;;;;;;;;
1970;6;195,00;;;;;;;;;;;;;;;;;;;
1970;7;200,00;;;;;;;;;;;;;;;;;;;
1970;8;214,00;;;;;;;;;;;;;;;;;;;
1970;9;226,00;;;;;;;;;;;;;;;;;;;
1970;10;259,00;;;;;;;;;;;;;;;;;;;
1970;11;306,00;;;;;;;;;;;;;;;;;;;
1970;12;291,00;;;;;;;;;;;;;;;;;;;
1971;1;239,40;;;;;;;;;;;;;;;;;;;
1971;2;230,70;;;;;;;;;;;;;;;;;;;
1971;3;277,40;;;;;;;;;;;;;;;;;;;
1971;4;251,40;;;;;;;;;;;;;;;;;;;
1971;5;260,20;;;;;;;;;;;;;;;;;;;
1971;6;282,30;;;;;;;;;;;;;;;;;;;
1971;7;278,00;;;;;;;;;;;;;;;;;;;
1971;8;291,40;;;;;;;;;;;;;;;;;;;
1971;9;288,00;;;;;;;;;;;;;;;;;;;
1971;10;297,00;;;;;;;;;;;;;;;;;;;
1971;11;252,90;;;;;;;;;;;;;;;;;;;
1971;12;296,80;;;;;;;;;;;;;;;;;;;
1972;1;258,60;;;;;;;;;;;;;;;;;;;
1972;2;292,40;;;;;;;;;;;;;;;;;;;
1972;3;332,20;;;;;;;;;;;;;;;;;;;
1972;4;312,10;;;;;;;;;;;;;;;;;;;
1972;5;361,60;;;;;;;;;;;;;;;;;;;
1972;6;385,00;;;;;;;;;;;;;;;;;;;
1972;7;338,60;;;;;;;;;;;;;;;;;;;
1972;8;404,00;;;;;;;;;;;;;;;;;;;
1972;9;347,00;;;;;;;;;;;;;;;;;;;
1972;10;397,90;;;;;;;;;;;;;;;;;;;
1972;11;400,40;;;;;;;;;;;;;;;;;;;
1972;12;400,50;;;;;;;;;;;;;;;;;;;
1973;1;370,70;;;;;;;;;;;;;;;;;;;
1973;2;390,30;;;;;;;;;;;;;;;;;;;
1973;3;405,30;;;;;;;;;;;;;;;;;;;
1973;4;418,20;;;;;;;;;;;;;;;;;;;
1973;5;479,20;;;;;;;;;;;;;;;;;;;
1973;6;436,90;;;;;;;;;;;;;;;;;;;
1973;7;534,10;;;;;;;;;;;;;;;;;;;
1973;8;588,70;;;;;;;;;;;;;;;;;;;
1973;9;520,10;;;;;;;;;;;;;;;;;;;
1973;10;696,70;;;;;;;;;;;;;;;;;;;
1973;11;626,40;;;;;;;;;;;;;;;;;;;
1973;12;725,60;;;;;;;;;;;;;;;;;;;
1974;1;773,50;;;;;;;;;;;;;;;;;;;
1974;2;827,60;;;;;;;;;;;;;;;;;;;
1974;3;923,20;;;;;;;;;;;;;;;;;;;
1974;4;907,40;;;;;;;;;;;;;;;;;;;
1974;5;1212,50;;;;;;;;;;;;;;;;;;;
1974;6;988,20;;;;;;;;;;;;;;;;;;;
1974;7;1191,30;;;;;;;;;;;;;;;;;;;
1974;8;1228,00;;;;;;;;;;;;;;;;;;;
1974;9;1102,00;;;;;;;;;;;;;;;;;;;
1974;10;1223,00;;;;;;;;;;;;;;;;;;;
1974;11;1136,10;;;;;;;;;;;;;;;;;;;
1974;12;1128,50;;;;;;;;;;;;;;;;;;;
